
27/3/2024 :: 12:57:27

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 12:59:3

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 13:0:5

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 15:10:35

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 16:43:25

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 16:47:11

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 16:48:38

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

27/3/2024 :: 16:48:48

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

28/3/2024 :: 11:18:59

Sid,amount,base_salary,bonus;
1,625000,450000,50000;
2,500000,450000,50000;
103,75000,50000,10000;
121,50201,45632,4569;

28/3/2024 :: 18:6:35

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

28/3/2024 :: 18:13:25

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;

28/3/2024 :: 18:14:26

Sid,amount,base_salary,bonus;
301,700000,550000,1500000;
302,500000,450000,50000;
501,1000000,850000,150000;
