
27/3/2024 :: 12:57:27

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 12:59:3

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 13:0:5

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 15:10:35

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 16:43:25

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 16:47:11

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 16:48:38

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

27/3/2024 :: 16:48:48

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

28/3/2024 :: 11:18:59

id,programming_language,specialization;
2, c++ , unreal engine5 ;
45,C++, dgdfg dfgdg dfg ;
103, python , retailerExpert ;

28/3/2024 :: 18:6:35

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

28/3/2024 :: 18:13:25

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;

28/3/2024 :: 18:14:26

id,programming_language,specialization;
301,C++,junior c++ developer;
302,C++,;
